orgUnit_name,period,AFP Confirmed,AFP Sent to Lab,AFP suspected,Anthrax confirmed,Anthrax sent to lab,Anthrax suspected,Cholera confirmed,Cholera sent to lab,Cholera suspected,Diarrhoea Non-Bloody confirmed,Diarrhoea Non-Bloody sent to lab,Diarrhoea Non-Bloody suspecteded,Malaria confirmed,Malaria sent to lab,Malaria suspected,Measles confirmed,Measles sent to lab,Measles suspected,Monkeypox sent to lab,Monkeypox suspected,Plague sent to Lab,Plague suspected,Typhoid fever confirmed,Typhoid fever sent to Lab,Typhoid fever suspected
so Southern Province,2024W13,0,1,1,0,0,3,0,1,1,30,9,3247,527,3349,3698,0,0,0,0,0,0,0,0,0,0
mu Muchinga Province,2024W13,0,1,1,0,0,0,0,0,0,0,0,732,7852,12131,15570,0,197,8,0,0,0,0,0,0,0
lu Luapula Province,2024W13,0,0,1,0,0,0,0,0,0,0,0,1321,22343,36405,36516,0,0,11,0,0,0,0,0,0,0
ls Lusaka Province,2024W13,0,0,0,0,0,0,36,43,131,67,124,1661,1222,6773,7024,3,0,0,0,0,0,0,0,0,0
ce Central Province,2024W13,0,1,1,0,1,1,0,11,14,133,0,2878,13846,28501,28675,0,2,8,0,0,0,0,0,0,0
no Northern Province,2024W13,0,0,0,0,0,0,0,0,0,0,0,1635,14868,24162,25170,0,0,82,0,0,0,0,0,0,0
ea Eastern Province,2024W13,0,2,2,0,0,0,0,2,25,16,62,4056,19468,41340,41643,4,8,8,0,0,0,0,0,0,0
ce Central Province,2024W14,0,0,0,0,0,0,0,0,0,2,22,2827,13416,29485,29690,0,4,14,0,0,0,0,0,0,0
lu Luapula Province,2024W14,0,0,0,0,0,0,0,0,0,0,16,1424,22692,36037,36521,5,12,22,0,0,0,0,0,0,0
ea Eastern Province,2024W14,0,2,2,0,0,0,0,11,11,5,69,4537,19763,42594,43088,1,5,5,0,0,0,0,0,0,0
ls Lusaka Province,2024W14,0,0,0,0,0,3,1,16,68,62,114,1680,1059,6078,6472,0,0,0,0,0,0,0,2,2,5
no Northern Province,2024W14,0,0,0,0,0,0,0,0,0,0,14,1695,15219,26438,26941,0,0,83,0,0,0,0,0,3,4
we Western Province,2024W14,0,0,1,1,1,1,0,0,0,60,59,2282,7424,17675,22610,3,3,3,0,0,0,0,0,0,0
so Southern Province,2024W14,0,1,1,0,0,3,0,0,0,34,1,3361,356,3254,3403,0,0,0,0,0,0,0,0,0,0
nw North-Western Province,2024W14,0,0,0,0,0,0,0,0,1,856,552,1974,18141,33201,36446,0,6,9,0,0,0,0,0,0,8
