orgUnit_name,period,AFP Confirmed,AFP Sent to Lab,AFP suspected,Anthrax confirmed,Anthrax sent to lab,Anthrax suspected,Cholera confirmed,Cholera sent to lab,Cholera suspected,Diarrhoea Non-Bloody confirmed,Diarrhoea Non-Bloody sent to lab,Diarrhoea Non-Bloody suspecteded,Malaria confirmed,Malaria sent to lab,Malaria suspected,Measles confirmed,Measles sent to lab,Measles suspected,Monkeypox sent to lab,Monkeypox suspected,Plague sent to Lab,Plague suspected,Typhoid fever confirmed,Typhoid fever sent to Lab,Typhoid fever suspected
no Northern Province,2024W25,0,0,0,0,0,0,0,0,0,0,15,1447,9746,18890,19449,0,0,31,0,0,0,0,0,4,4
co Copperbelt Province,2024W26,0,1,1,0,0,0,0,0,0,131,153,2875,8612,25165,26876,0,1,1,0,0,0,0,0,0,0
nw North-Western Province,2024W26,0,0,0,0,0,0,0,0,0,969,981,2170,12345,26571,27459,0,0,2,0,0,0,0,0,0,0
so Southern Province,2024W26,0,1,1,0,0,2,0,1,1,36,10,2744,193,2408,2499,0,1,1,0,0,0,0,0,0,0
we Western Province,2024W26,0,0,0,0,0,1,0,0,1,54,39,2353,3634,9773,11552,0,0,0,0,0,0,0,0,0,0
mu Muchinga Province,2024W26,0,0,0,0,0,0,0,0,0,0,0,736,4448,8325,10890,0,8,38,0,0,0,0,0,0,0
no Northern Province,2024W26,0,1,1,0,0,0,0,0,0,0,22,1558,9191,17595,18009,15,5,37,0,0,0,0,0,7,9
ls Lusaka Province,2024W26,0,1,1,0,0,0,0,0,0,259,298,2314,908,8137,8426,0,0,3,0,0,0,0,0,19,19
ea Eastern Province,2024W26,0,1,2,0,0,1,0,2,2,74,39,3053,15238,31651,33459,0,3,4,0,0,0,0,0,2,10
lu Luapula Province,2024W26,0,0,0,0,0,0,0,0,0,0,0,1284,13860,24014,24661,0,0,1,0,0,0,0,0,0,0
ce Central Province,2024W26,0,0,0,0,0,1,0,0,0,14,7,3199,4895,16450,16874,0,1,1,0,0,0,0,0,0,0
co Copperbelt Province,2024W27,0,1,2,0,0,0,0,0,0,99,16,2554,7808,23859,26814,0,0,0,0,0,0,0,0,9,9
nw North-Western Province,2024W27,0,1,1,0,0,0,0,0,0,1055,1001,2165,9008,21470,22630,0,0,3,0,0,0,0,0,16,16
so Southern Province,2024W27,0,0,1,0,0,0,0,0,0,0,0,2778,125,2672,2784,0,0,2,0,0,0,0,0,0,0
we Western Province,2024W27,0,0,0,0,0,0,0,0,0,48,48,2030,2877,8262,10326,0,0,3,0,0,1,0,0,0,0
mu Muchinga Province,2024W27,0,0,0,0,0,0,0,0,0,0,0,617,2985,6146,8876,14,14,32,0,0,0,0,0,0,0
no Northern Province,2024W27,0,0,1,0,0,0,0,0,0,3,3,1397,7297,14589,15342,2,4,30,0,0,0,0,0,4,5
ls Lusaka Province,2024W27,0,0,0,0,0,0,0,3,3,301,251,2285,734,7900,8147,0,0,2,0,0,0,0,2,46,46
ea Eastern Province,2024W27,0,0,0,0,0,0,0,1,2,64,67,3162,9505,23886,26386,0,0,0,0,0,0,0,0,0,0
lu Luapula Province,2024W27,0,0,0,0,0,0,0,0,0,0,0,1165,11155,20192,21182,0,0,0,0,0,0,0,0,0,0
ce Central Province,2024W27,0,0,0,0,0,0,0,0,0,19,0,3061,3845,16463,16769,1,6,6,0,0,0,0,0,0,0
co Copperbelt Province,2024W28,0,1,2,0,0,0,0,0,0,210,227,3292,10383,35122,36687,0,0,0,0,0,0,0,0,4,4
nw North-Western Province,2024W28,0,0,0,0,0,0,0,0,2,1207,1270,2802,10163,27185,27875,0,0,5,1,1,0,0,0,0,0
so Southern Province,2024W28,0,1,1,0,0,2,0,0,0,34,102,3475,220,3460,3679,0,0,0,0,0,0,0,0,0,0
we Western Province,2024W28,0,0,3,0,0,3,0,0,18,2,4,2407,3178,9877,12112,0,0,1,0,0,0,0,0,0,0
mu Muchinga Province,2024W28,0,0,0,0,0,0,0,0,5,0,0,811,3423,7621,10044,0,0,34,0,0,0,0,0,0,0
no Northern Province,2024W28,0,1,1,0,0,0,0,0,0,2,9,1741,8103,17539,18164,0,0,10,0,0,0,0,0,9,10
ls Lusaka Province,2024W28,0,0,0,0,0,0,0,0,5,324,394,2738,760,9640,9987,0,0,40,0,0,0,0,1,42,42
ea Eastern Province,2024W28,0,2,3,0,0,0,0,1,2,121,124,3774,8989,25079,28953,83,3,3,0,0,0,0,0,0,0
lu Luapula Province,2024W28,0,1,1,0,0,0,0,0,0,0,0,1427,10983,21024,22612,0,0,0,0,0,0,0,0,0,0
ce Central Province,2024W28,0,0,0,0,0,0,0,0,0,28,0,3867,3840,18441,18885,0,0,0,0,0,0,0,0,0,0
nw North-Western Province,2024W29,0,1,1,0,0,0,0,0,0,1492,1548,3373,11176,30884,31757,0,0,2,0,0,0,0,0,0,7
so Southern Province,2024W29,0,0,0,0,0,0,0,0,0,29,41,3810,157,4229,4456,0,0,0,0,0,0,0,0,0,0
we Western Province,2024W29,0,5,5,0,0,4,0,0,0,30,26,3224,3339,11600,13462,0,0,0,0,0,0,0,0,0,0
mu Muchinga Province,2024W29,0,0,0,0,0,0,0,0,0,0,0,880,3611,7875,9223,0,0,60,0,0,0,0,1,1,1
co Copperbelt Province,2024W29,0,1,2,0,1,1,0,0,0,241,381,3612,9574,36503,37920,0,0,0,0,0,0,0,0,1,3
ls Lusaka Province,2024W29,0,1,1,0,0,0,0,1,1,260,364,2997,806,9160,9562,0,1,1,0,0,0,0,0,11,11
ea Eastern Province,2024W29,0,2,2,0,0,0,6,0,6,104,89,4204,7842,24877,30195,0,3,3,0,0,0,0,0,0,0
lu Luapula Province,2024W29,0,0,0,0,0,0,0,0,0,0,0,1731,10223,22026,23669,0,1,1,0,0,0,0,0,0,0
ce Central Province,2024W29,0,1,4,0,0,1,0,3,3,31,52,4449,3388,18723,19224,0,0,0,0,0,0,0,0,0,0
no Northern Province,2024W29,0,0,1,0,0,0,0,0,0,0,7,1830,8120,18845,19264,0,2,26,0,0,0,0,0,2,4
co Copperbelt Province,2024W3,0,0,0,0,0,0,13,24,27,169,171,2779,24322,46647,48778,0,0,0,0,0,0,0,0,0,1
nw North-Western Province,2024W3,0,4,2,0,0,0,21,105,109,565,370,2190,24147,38537,42854,5,6,19,0,0,0,0,0,0,0
so Southern Province,2024W3,0,0,1,0,0,1,22,62,88,0,38,3117,842,4665,4919,0,1,1,0,0,0,0,1,1,1
we Western Province,2024W3,0,0,1,0,10,11,1,1,2,25,29,1961,20465,35591,39765,0,0,1,0,0,0,0,0,0,6
mu Muchinga Province,2024W3,0,0,0,0,0,1,1,1,1,3,34,645,15272,22061,21966,0,0,3,0,0,0,0,0,0,0
no Northern Province,2024W3,0,0,0,0,0,0,0,4,5,0,1,1329,22964,32360,33168,0,0,7,0,0,0,0,0,0,5
ls Lusaka Province,2024W3,0,0,0,0,1,4,74,273,1789,13,67,1756,1131,4985,6456,0,1,1,0,0,0,0,0,1,1
ea Eastern Province,2024W3,0,0,0,0,0,0,9,25,29,13,24,2759,11705,27475,28250,0,11,6,0,0,0,0,0,1,1
lu Luapula Province,2024W3,0,2,2,0,0,0,1,1,1,73,99,1313,23001,34701,36686,187,6,115,0,0,0,0,0,0,0
ce Central Province,2024W3,0,1,1,0,0,1,18,73,242,181,10,2574,17188,32986,33680,0,3,26,0,0,0,0,0,0,0
nw North-Western Province,2024W30,0,0,0,0,0,0,0,14,0,1450,1453,3731,10817,31835,32285,0,0,5,0,0,0,0,0,0,0
so Southern Province,2024W30,0,0,0,0,0,5,0,0,0,0,2,4113,149,4154,4718,0,2,2,0,0,0,0,0,0,0
we Western Province,2024W30,0,2,2,0,0,2,0,0,0,38,49,3953,3147,12348,14827,0,0,0,0,0,0,1,0,0,0
mu Muchinga Province,2024W30,0,1,1,0,0,0,0,0,0,0,0,1012,3485,8821,9604,0,0,15,0,0,0,0,0,0,0
co Copperbelt Province,2024W30,0,1,2,0,0,0,0,0,1,212,264,3631,8193,33048,34351,0,1,2,0,0,0,0,2,1,1
ls Lusaka Province,2024W30,0,0,1,0,0,0,0,0,1,230,253,2743,687,8651,8858,0,0,0,0,0,0,0,0,3,6
ea Eastern Province,2024W30,0,0,0,0,0,0,0,0,0,141,181,4933,6955,22584,29288,32,54,0,0,0,0,0,0,6,6
lu Luapula Province,2024W30,0,0,0,0,0,0,0,0,0,0,0,1610,11240,23194,24071,0,0,1,0,0,0,0,0,0,0
ce Central Province,2024W30,0,2,2,0,0,0,0,1,1,19,0,4628,2879,17237,17718,0,0,0,0,0,0,0,0,0,0
no Northern Province,2024W30,0,1,1,0,0,0,0,0,0,0,134,1974,7873,18578,18940,0,4,31,0,0,0,0,0,1,1
nw North-Western Province,2024W31,0,1,1,0,0,0,0,3,4,1541,1574,3666,10177,31154,31391,0,0,0,0,0,0,0,0,0,4
so Southern Province,2024W31,0,1,1,0,0,15,0,0,0,0,4,4255,90,3195,3438,0,3,0,0,0,0,0,0,0,0
we Western Province,2024W31,0,1,1,0,0,4,0,0,0,33,33,3854,3106,11562,13527,0,0,0,0,0,0,0,0,4,8
mu Muchinga Province,2024W31,0,0,0,0,0,0,0,0,0,2,2,1241,3196,8263,8660,0,0,4,0,0,0,0,0,0,0
co Copperbelt Province,2024W31,0,1,1,0,0,0,0,0,0,374,364,3821,7577,30689,32007,0,1,1,0,0,0,0,0,0,0
ls Lusaka Province,2024W31,0,0,1,0,1,1,0,0,0,214,247,2612,608,7289,7685,0,1,2,0,0,0,0,1,6,11
ea Eastern Province,2024W31,0,1,1,0,0,0,0,0,30,249,166,5196,6224,22881,29117,0,13,14,0,0,0,0,0,6,6
lu Luapula Province,2024W31,0,5,5,0,0,0,0,0,0,0,0,1560,11347,23901,24101,0,1,1,0,0,0,0,0,0,0
ce Central Province,2024W31,0,1,1,0,0,0,0,0,0,82,54,4715,2254,14527,15093,0,67,0,0,0,0,0,0,0,0
no Northern Province,2024W31,0,0,0,0,0,0,0,0,0,0,6,1943,7104,16936,17126,3,10,23,0,0,0,0,0,4,6
co Copperbelt Province,2024W32,0,1,2,0,0,0,0,0,0,266,352,3912,6556,26408,27075,0,1,2,0,0,0,0,0,2,2
nw North-Western Province,2024W32,0,0,0,0,0,0,0,0,0,1551,1604,4017,8371,28067,28417,0,5,9,0,0,0,0,0,0,0
so Southern Province,2024W32,0,0,0,0,0,20,0,0,0,0,14,4566,105,3419,3611,0,0,0,0,3,0,0,0,0,0
we Western Province,2024W32,0,0,0,0,0,4,0,0,0,55,52,4169,2819,11586,13064,0,0,0,0,0,0,0,0,4,4
mu Muchinga Province,2024W32,0,0,0,0,0,0,0,0,0,0,6,1374,2949,8425,8461,0,0,6,0,0,0,0,0,0,0
no Northern Province,2024W32,0,0,0,0,0,0,0,0,0,0,2,2240,6989,16450,16512,0,1,6,0,0,0,0,0,3,4
ea Eastern Province,2024W32,0,3,3,0,0,0,0,1,1,152,150,5663,8662,27597,29104,2,3,4,0,0,0,0,0,0,0
lu Luapula Province,2024W32,0,1,1,0,0,0,0,0,0,0,11,1716,10798,23313,23484,0,0,0,0,0,0,0,0,0,0
ce Central Province,2024W32,0,0,0,0,0,0,0,0,0,28,85,4644,2262,13466,13605,0,0,0,0,0,0,0,0,0,0
ls Lusaka Province,2024W32,0,0,0,1,1,1,0,0,0,226,243,2530,414,5634,5866,0,1,1,0,0,0,0,0,4,4
we Western Province,2024W33,0,2,3,0,1,2,0,0,0,53,82,4407,2402,10565,12123,0,0,1,0,0,0,0,0,0,0
nw North-Western Province,2024W33,0,0,0,0,0,0,0,0,0,1503,1525,4061,6924,24544,24729,0,0,8,0,0,0,0,0,0,0
co Copperbelt Province,2024W33,0,0,0,0,0,0,0,0,2,263,255,3674,5567,24367,24713,0,1,1,0,0,0,0,0,1,3
mu Muchinga Province,2024W33,0,0,0,0,0,0,0,0,0,0,11,1422,2616,7770,8138,15,0,13,0,0,0,0,0,0,0
so Southern Province,2024W33,0,1,1,0,0,14,0,0,0,3,51,5510,75,2934,3143,0,2,2,0,0,0,0,0,0,0
ls Lusaka Province,2024W33,0,1,2,0,0,0,0,0,0,247,309,2622,403,5117,5397,0,1,3,0,1,0,0,0,4,7
ea Eastern Province,2024W33,0,1,2,0,0,0,0,0,0,104,208,5607,7517,27568,28747,0,16,17,0,0,0,0,0,0,0
lu Luapula Province,2024W33,0,0,0,0,0,0,0,0,0,0,0,1998,10206,23067,23288,0,5,5,1,1,0,0,0,0,0
ce Central Province,2024W33,0,0,0,0,0,0,0,0,0,94,113,4861,1776,12197,12233,0,5,5,1,1,0,0,0,0,0
no Northern Province,2024W33,0,0,0,0,0,0,0,0,0,7,11,2139,6544,15392,15789,0,3,3,0,0,0,1,0,0,0
co Copperbelt Province,2024W34,0,0,0,0,0,0,0,0,4,37,64,3856,4613,23633,23810,0,0,0,0,0,0,0,0,0,4
nw North-Western Province,2024W34,0,0,0,0,0,0,0,0,0,1566,1587,3828,6934,23310,23453,0,0,1,0,0,0,0,0,0,0
so Southern Province,2024W34,1,3,3,0,0,7,0,0,0,0,59,5142,65,2704,2889,0,0,0,0,0,0,0,0,0,0
we Western Province,2024W34,0,0,1,0,1,1,0,0,0,72,72,4163,1763,8519,10414,0,1,1,0,0,0,0,0,0,0
mu Muchinga Province,2024W34,0,0,0,0,0,0,0,0,0,8,59,1465,2419,7003,7282,0,0,0,0,0,0,0,0,0,0
no Northern Province,2024W34,0,0,0,0,0,0,0,0,0,0,19,2289,5876,14089,14352,0,9,14,0,0,0,0,1,4,9
ls Lusaka Province,2024W34,0,0,0,1,1,0,0,0,0,247,231,2495,434,4380,4643,0,2,2,0,0,0,0,3,16,18
ea Eastern Province,2024W34,0,1,2,0,0,0,0,0,0,109,144,5419,6807,23031,25239,3,7,7,0,0,0,0,0,0,0
lu Luapula Province,2024W34,0,0,0,0,0,0,0,0,0,0,0,1950,9704,21897,22041,0,2,3,0,0,0,0,0,0,0
ce Central Province,2024W34,0,0,0,0,0,0,0,0,0,132,200,4568,1714,10151,10517,0,0,0,0,0,0,0,0,0,2
co Copperbelt Province,2024W4,0,0,0,0,0,0,50,162,166,159,159,2345,24806,46973,48573,0,0,0,0,0,0,0,0,3,3
nw North-Western Province,2024W4,0,4,2,0,0,1,18,55,64,465,227,1977,21473,35554,39692,0,8,16,0,0,0,0,0,0,0
so Southern Province,2024W4,0,1,1,0,0,1,17,83,119,7,4,3786,1001,5585,5830,0,0,0,0,0,0,0,0,0,2
we Western Province,2024W4,0,0,0,0,0,3,3,4,5,23,5,2097,20705,36271,37793,0,0,0,0,0,0,0,0,0,0
mu Muchinga Province,2024W4,0,0,0,0,0,0,0,0,0,0,1,540,14157,20790,20871,0,0,0,0,0,0,0,1,1,1
no Northern Province,2024W4,0,0,0,0,0,0,0,9,10,0,0,1177,20593,30740,31192,0,0,18,0,0,0,0,0,0,0
ea Eastern Province,2024W4,0,1,1,0,0,0,12,30,33,34,104,3637,16212,37023,38646,0,1,5,0,0,0,0,0,0,0
lu Luapula Province,2024W4,0,0,1,0,0,0,0,0,0,54,69,1415,21957,33415,36596,0,1,102,0,0,0,0,0,0,0
ce Central Province,2024W4,0,2,2,0,0,0,13,102,271,169,28,2766,18501,35922,36425,0,0,78,0,0,0,0,0,1,1
ls Lusaka Province,2024W4,0,0,0,0,0,0,221,215,1381,23,67,1416,1267,4473,5231,0,1,4,0,0,0,0,0,0,0
we Western Province,2024W5,0,0,1,0,0,3,1,1,1,48,30,1926,19425,33420,35240,0,0,0,0,0,0,0,0,0,0
nw North-Western Province,2024W5,0,4,3,0,0,0,33,72,77,614,332,1693,20793,33402,39518,2,2,10,0,0,0,0,1,0,0
so Southern Province,2024W5,0,0,0,0,1,1,21,87,156,7,0,3613,1066,5428,5676,0,1,2,0,0,0,0,0,9,9
co Copperbelt Province,2024W5,0,1,1,0,0,0,9,80,80,162,212,2550,22200,42548,43385,0,0,0,0,0,0,0,0,0,0
mu Muchinga Province,2024W5,0,0,0,0,0,0,0,0,0,33,0,698,12937,19044,19240,0,0,4,0,0,0,0,0,0,0
ea Eastern Province,2024W5,0,2,2,0,0,0,66,41,54,31,212,3818,15944,36994,37766,0,0,0,0,0,0,1,0,0,1
ls Lusaka Province,2024W5,0,1,1,0,0,0,216,165,842,40,152,1659,1643,6574,6753,0,1,1,0,0,0,0,1,1,1
lu Luapula Province,2024W5,0,0,0,0,0,0,0,0,0,189,203,1429,19763,33964,34611,0,0,143,0,0,0,0,0,0,0
ce Central Province,2024W5,0,1,1,0,0,0,15,89,200,167,0,2601,15598,30671,31102,0,1,5,0,0,0,0,0,0,0
no Northern Province,2024W5,0,0,0,0,0,0,0,1,1,0,9,1310,17989,27377,27985,0,104,43,0,0,0,0,0,1,1
co Copperbelt Province,2024W6,0,2,2,0,0,0,39,76,92,174,177,2401,23275,41883,42640,0,1,1,0,0,0,0,0,2,2
nw North-Western Province,2024W6,0,4,4,0,0,0,23,62,63,588,360,1546,17121,28027,33038,0,5,11,0,0,0,0,0,0,0
so Southern Province,2024W6,0,1,1,0,0,0,6,44,56,0,33,3310,694,4393,4683,0,0,1,0,0,0,0,0,0,0
we Western Province,2024W6,0,1,1,0,0,9,2,2,2,65,48,2025,18156,30929,33556,0,0,0,0,0,0,0,0,0,0
mu Muchinga Province,2024W6,0,2,2,0,0,0,1,1,1,12,0,545,11158,16803,17193,0,0,1,0,0,0,0,0,0,0
no Northern Province,2024W6,0,3,3,0,0,0,0,0,1,0,5,1249,15775,25066,25125,0,0,54,0,0,0,0,0,0,2
ls Lusaka Province,2024W6,0,1,1,0,0,0,113,58,731,58,93,1608,1711,6554,6856,0,1,2,0,0,0,0,1,1,0
ea Eastern Province,2024W6,0,0,0,0,0,0,6,22,24,51,29,4020,14284,35207,34753,0,0,0,0,0,0,0,0,0,0
lu Luapula Province,2024W6,0,0,0,0,0,0,0,0,0,188,114,1387,18473,32805,33005,0,2,196,0,0,0,0,0,0,0
ce Central Province,2024W6,0,1,1,0,0,0,22,123,160,200,77,2508,14734,29224,29877,0,0,39,0,0,0,0,0,0,0
nw North-Western Province,2024W7,0,4,3,0,0,0,9,26,29,699,376,1797,17108,27397,34035,0,6,23,0,0,0,0,0,4,4
co Copperbelt Province,2024W7,0,0,0,0,0,0,94,118,231,229,271,2914,20326,37597,39432,0,0,0,0,0,0,0,0,1,9
we Western Province,2024W7,0,1,1,0,0,3,0,0,0,54,43,1976,16721,29664,33629,0,0,0,0,0,0,0,0,0,0
mu Muchinga Province,2024W7,0,0,0,0,0,0,0,0,0,0,0,532,10540,16677,16764,0,0,0,0,0,0,0,0,0,0
so Southern Province,2024W7,0,1,1,0,0,0,2,90,103,0,11,3707,800,4990,5301,0,0,0,0,0,0,0,0,0,0
ls Lusaka Province,2024W7,0,0,0,0,0,0,100,97,394,125,188,1621,1459,6325,6566,0,1,1,0,0,0,0,0,0,0
ea Eastern Province,2024W7,0,1,1,0,0,0,4,12,27,21,68,4035,13498,31562,34528,0,48,4,0,0,0,0,0,0,0
lu Luapula Province,2024W7,0,1,2,0,0,0,0,0,0,136,131,1449,19628,33542,33552,0,0,178,0,0,0,0,1,1,1
ce Central Province,2024W7,0,1,1,0,0,0,2,82,131,189,50,2616,14760,29896,29945,0,0,29,0,0,0,0,0,0,0
no Northern Province,2024W7,0,3,4,0,0,0,0,0,2,1,27,1372,16539,26576,26758,0,0,18,0,0,0,0,0,0,0
co Copperbelt Province,2024W8,0,2,2,0,0,0,113,37,210,268,268,2719,19565,36517,38830,0,1,1,0,0,0,0,1,2,2
nw North-Western Province,2024W8,0,8,9,0,0,0,2,9,10,590,344,1569,22793,35853,39506,6,14,25,0,0,0,0,0,1,0
we Western Province,2024W8,0,0,0,0,0,9,0,0,7,69,51,2494,16942,30617,34924,0,0,0,0,0,0,0,0,0,2
mu Muchinga Province,2024W8,0,0,0,0,0,0,1,1,1,2,8,616,10399,25312,17458,0,0,2,0,0,0,0,0,0,0
so Southern Province,2024W8,0,0,0,0,0,4,4,21,52,166,43,3599,553,4643,5519,0,0,0,0,0,0,0,0,0,11
ls Lusaka Province,2024W8,0,1,1,0,1,1,76,43,344,52,95,1507,1328,5872,6368,0,0,0,0,0,0,0,0,0,1
ea Eastern Province,2024W8,0,3,3,0,0,0,2,3,5,76,67,4839,13234,32940,34214,0,0,1,0,0,0,0,0,0,0
lu Luapula Province,2024W8,0,2,2,0,0,0,0,0,0,137,140,1405,21449,34707,36504,0,1,189,0,0,0,0,0,0,0
ce Central Province,2024W8,0,0,0,0,0,0,0,59,93,188,1,2738,12963,28467,28815,1,1,28,0,0,0,0,0,0,0
no Northern Province,2024W8,0,3,4,0,0,1,0,0,0,0,10,1457,17686,28062,28166,0,0,36,0,0,0,0,0,0,0
nw North-Western Province,2024W9,0,2,2,0,0,0,1,4,5,540,337,1701,29807,47834,49088,1,10,21,0,0,0,0,0,10,10
ce Central Province,2024W9,0,0,0,0,0,0,0,56,64,21,0,2690,11790,27068,27108,1,2,22,0,0,0,0,0,0,0
lu Luapula Province,2024W9,0,3,3,0,0,0,0,0,0,108,112,1478,22080,37489,37700,1,6,46,0,0,0,0,0,0,3
ea Eastern Province,2024W9,0,0,1,0,0,0,1,7,11,36,114,4308,12346,32152,33246,0,2,2,0,0,0,0,0,0,0
ls Lusaka Province,2024W9,0,0,0,0,0,4,17,26,209,100,151,1514,1215,5978,6152,0,1,3,0,0,0,0,1,4,8
no Northern Province,2024W9,0,0,0,0,0,0,0,0,0,7,25,1414,16644,26373,27241,0,1,55,0,0,0,1,0,0,0
mu Muchinga Province,2024W9,0,0,0,0,0,0,0,0,0,0,0,655,8061,13790,15652,2,4,4,0,0,0,0,0,0,0
we Western Province,2024W9,0,0,0,0,0,1,0,0,0,66,60,2163,13128,25600,30449,2,0,0,0,0,0,1,0,0,0
so Southern Province,2024W9,0,0,0,0,0,0,13,66,107,219,42,3762,599,4600,4862,0,0,0,0,0,0,0,0,0,0
co Copperbelt Province,2024W9,0,0,0,0,0,1,12,46,234,196,214,2295,24394,45357,46470,0,0,0,0,0,0,0,0,1,1
